max_mag,mean_mag,std_dev,zero_cross,max_x,max_y,max_z,SMA,LABEL
1.3008253471346518,1.008587105903725,0.13758031567766954,44,0.3511410096221008,0.40290934413015506,1.292618818744396,1.1997485800218421,0
8.335064458970766,1.6991885042838362,1.437921873886564,12,4.840367067639006,3.754336925341407,5.652353530763221,2.493429806057554,2
1.4547547576783653,1.0660022566676277,0.13055512138184563,52,0.3023035498502532,0.36078885107307196,1.4458515846222195,1.2604020891814711,0
3.719390070298955,1.2048923356966792,0.4827619791004578,14,1.9437148761718765,1.3883654929156364,2.8510131941588295,1.612334735161669,2
4.28998851510908,1.4097182519598,0.8191116601048672,6,0.9265778425975065,2.972997274727657,3.06710650071637,1.9553189752351485,2
2.8698937512657126,1.09292246731717,0.361621437492561,35,2.327292135096919,0.4515807147764097,1.6601131825869928,1.3611090845428315,1
8.227366687328281,1.653569620458512,1.5002220207492367,8,3.1733655070841484,2.6413605854692896,7.116356386785097,2.335781451958184,2
1.1366743901264451,1.0381205144648245,0.046552145667783484,51,0.1219043154933267,0.1692416449118493,1.1361563077199823,1.1206755918336935,0
5.26406400250304,1.4478858884915642,0.8672931098429096,12,4.482129568931432,1.234799118624441,2.4876954231226467,1.9700768588319548,2
6.040367187419903,1.3819864043214785,1.0605990001019159,10,1.8607700380784877,0.4104837408947689,5.736922707761678,1.7650428671618277,2
2.749679216319046,1.0697038093616449,0.2794704976524434,32,0.8434943624717403,2.11739445504404,1.5487640091221555,1.3122717857546706,1
2.8012961895424557,1.137402486866252,0.3565597117643975,21,1.441673399720984,1.9651593124006907,1.5604947291798799,1.530380980888895,2
4.086371600404953,1.2444693425346278,0.643817311008917,10,2.7596590491498794,0.3089399599232717,3.01006209389512,1.5980615713087436,2
1.1698715602634495,1.012145890009246,0.06780666779436734,44,0.16820309433321307,0.21012380159510893,1.1629965300820122,1.1185936812720678,0
1.1604860677706357,1.0241968445427911,0.04737499234581448,48,0.19583262659075854,0.1353121683909062,1.1570369109293752,1.1355512938142802,0
1.267580609568634,1.0153746973152222,0.10780971895982182,44,0.35436989337878316,0.34612560443657886,1.2644093783406558,1.2027878448953295,0
3.962778993133549,1.1018002037549202,0.4031378728017538,40,1.5324970239251041,1.9726101140166568,3.076341911777759,1.3820568992521418,1
1.3028107950507894,1.0136219787547305,0.11282633924085572,46,0.3780104706585183,0.3535352737799198,1.265031069303965,1.2004173323485055,0
2.6335324807028306,1.060083739871795,0.22977872303351413,48,2.1293163710348684,0.38090055705287446,1.5121364128809953,1.2874495597130844,1
3.280832062497528,1.096934387219094,0.350275204862393,16,0.2972639366086095,1.8523935313651143,2.6915066911053236,1.3020333130765962,1
